mtime,AG,AJ,AY,BQ,CF,DU,DZ,ER,ET,FQ,FS,FU,FZ,GN,GU,HJ,HT,IJ,IZ,JK,JO,JU,JY,LM,LO,LX,MP,N,NV,NW,PQ,PS,Q,TW,VX
2021-11-01T00:00,6522072,6275660,8043274,7823436,7717683,7494864,7179882,6475542,8083419,7727133,6233321,6441487,7493230,9197936,6917910,6492093,6317322,6847865,5072403,8962741,8064136,9817779,5293740,6799858,8488445,6084893,7406065,7041664,5920450,8839721,8585491,6810589,7473936,5673933,6614147
2021-11-01T00:05,7155839,6630435,6653632,6734949,6344143,8516328,6774618,8993653,7709192,8118034,6244116,6937375,7518224,6059787,6829430,8321470,8351337,8893532,6759139,7249858,7018583,5049190,6044806,7798506,7088754,7189155,7282162,8115883,8022541,7170130,8140203,8344806,8399748,7608088,6012286
2021-11-01T00:10,6104813,8276038,6113814,6389719,5410605,6730440,7898361,7319325,8191890,6219862,5550786,7060555,8385834,6818214,5860295,7929749,6781199,6455273,5922754,7692923,7296128,9103532,6824579,6894789,7550120,7423559,7826948,8557682,7532737,6020889,8618988,9024262,6307012,7520834,7053743
2021-11-01T00:15,6333485,6210517,6811795,8099359,6601980,6199291,8368267,7119825,6705279,7494554,5601328,9234647,6272963,5534129,7891880,8276487,8934391,6486996,6888144,8392939,7669951,5684131,4943196,7454954,5923552,5191618,8100098,7959649,8526010,7746835,7496221,6250804,6842067,8609354,8866982
2021-11-01T00:20,10064034,8886365,6163492,8840863,6405565,8239278,8308030,6593180,9152478,5840670,5414488,8267280,7976874,8073881,9528165,7674060,9888974,7765262,8870043,7740806,6482169,8029038,7546006,8028113,8078975,6046405,6504901,8654563,5387548,7376497,6828385,8128135,7334675,6763108,6599870
2021-11-01T00:25,6196896,7992829,6544963,7079407,6026960,8435620,7248616,7924506,8413906,10087194,6923705,6912319,9498710,8273680,7835648,7701857,6611449,6422685,5913233,7788871,6563117,7814851,7835138,7245109,7089253,8487850,8413056,5926479,6871827,6948778,8975831,6458647,8847173,7169623,8884715
2021-11-01T00:30,7210143,8696921,7637133,8397757,8494619,7345292,8604716,7695120,8614611,7818535,7157840,8016271,6211260,7800861,7939984,6610638,5136146,5079390,6317399,7239278,7014872,8813136,8075175,8529881,5695404,7319435,7994181,7543951,6293417,8272909,6467767,6623765,8514756,7859188,8136600
2021-11-01T00:35,7009226,7884205,7010486,7916949,8243603,8693491,8506524,8326103,7034248,7450103,6795913,6251942,6550729,6886417,5894682,6997208,6447859,7694077,8252142,6887054,4949482,7330023,7676783,7038738,6394645,8154686,5840879,8211649,7181853,7225789,6845808,6966793,5946830,6604510,8938811
2021-11-01T00:40,7397689,8786707,6854963,6946477,7121836,5625598,7562224,5770171,6391660,10071133,8519284,7230621,8059056,7404419,7045105,8571801,6730713,7846827,6185364,8074055,8536742,7170941,7094981,7910276,8028782,6154742,8776635,6229826,5617025,7095986,7166945,10316678,8738997,5842313,6318825
2021-11-01T00:45,8975745,6293210,8649820,6523127,8185617,6804343,9051018,6728494,6762540,7530090,6744714,8259490,7114703,5745103,8049574,7052963,6871051,7479972,5922215,7682402,6562732,6582424,7659406,7923635,8085197,7998682,6686293,6449667,5095008,6829368,5759160,6968431,6560406,7588736,6763838
2021-11-01T00:50,7338236,8659692,7017659,6470222,7618455,8974869,6506177,6227239,6629342,7182873,8299871,6571704,7154783,6567023,6669780,7238973,6755687,6964940,7395095,5337842,7981748,7052779,7786271,7382833,8606519,7300629,8182622,7717117,7001484,7666581,7460864,5320049,6739554,7930808,5856112
2021-11-01T00:55,8499485,8844058,8556244,7264476,7674806,8383113,7480523,8571243,8852928,6755571,9133143,8228542,8256415,7856932,6849885,7872765,7038889,5842258,7010552,7032031,5376709,8189172,6980701,7328774,7534127,7491091,8775674,6562044,7592272,6446748,9155166,8411873,8253449,7169526,5217627
